resource_id,title,fields,granularity,months,years,start_year,end_year,year_span,duration_type,region,category
14cc3033-3596-4a65-8f5f-bae5115a2428,Station-wise Dust Storm Events Observed as Reported by India Meteorological Department (IMD) from 2020 to 2022,"['document_id', '_sl__no_', 'station_name', '_2020', '_2021', '_2022', 'resource_uuid']",,,"[2020, 2022]",2020,2022,3,duration_range,station-wise,dust_storm
29734c42-3123-47df-a472-cfed98b1f34d,Daily Sub-basin-wise Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during January 2023,"['document_id', '_basin_', 'subbasin', 'date', 'year', 'month', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['january'],[2023],2023,2023,1,specific_month,sub-basin,rainfall
84f7de24-d561-431f-ab5c-8457aadcf0b5,Daily Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during January 2023,"['document_id', '_state_', 'district', 'date', 'year', 'month', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['january'],[2023],2023,2023,1,specific_month,,rainfall
cfe63985-aa0c-4f67-9db2-8ce9286a136b,Daily Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during February 2023,"['document_id', '_state_', 'district', 'date', 'year', 'month', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['february'],[2023],2023,2023,1,specific_month,,rainfall
b7908c59-289a-4f25-8174-a7ddbc685050,Daily Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during March 2023,"['document_id', '_state_', 'district', 'date', 'year', 'month', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['march'],[2023],2023,2023,1,specific_month,,rainfall
36237b2f-c31a-4e47-bcc6-06f0fa5f2102,Daily Sub-basin-wise Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during February 2023,"['document_id', '_basin_', 'subbasin', 'date', 'year', 'month', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['february'],[2023],2023,2023,1,specific_month,sub-basin,rainfall
b1c49d56-ca9d-4716-a1f8-031153056af1,Daily Sub-basin-wise Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during March 2023,"['document_id', '_basin_', 'subbasin', 'date', 'year', 'month', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['march'],[2023],2023,2023,1,specific_month,sub-basin,rainfall
061022b5-bc6b-4c30-b487-d74824d128b8,Daily Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during April 2023,"['document_id', '_state_', 'district', 'date', 'year', 'month', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['april'],[2023],2023,2023,1,specific_month,,rainfall
27273608-056f-4675-be88-d60aaa76b62a,Daily Sub-basin-wise Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during April 2023,"['document_id', '_basin_', 'subbasin', 'date', 'year', 'month', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['april'],[2023],2023,2023,1,specific_month,sub-basin,rainfall
64510638-a1f1-49fd-90dd-09c53af29041,Daily Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during May 2023,"['document_id', '_state_', 'district', 'date', 'year', 'month', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['may'],[2023],2023,2023,1,specific_month,,rainfall
